outcome,control,treated,window,drop_covid,fe,coef,se,ci_lo,ci_hi,p,n_treated_states,n_control_states,n_obs
lemp_leisure_hosp,border,all,2021-01 start (long),True,twoway,0.008837928979188078,0.004772625072713285,-0.0008156164201288691,0.018491474378505027,0.07163658602002254,22,18,2440
lemp_leisure_hosp,border,all,2021-01 start (long),True,division x month,0.008779551994843633,0.0061408286120906465,-0.003641446280334063,0.02120055027002133,0.16076514992904944,22,18,2440
lemp_leisure_hosp,border,legislated,2022-07 start (baseline),False,twoway,0.00925118123485163,0.00481195255745117,-0.0006592205712388777,0.019161583040942138,0.06600228708845912,8,18,1274
lemp_leisure_hosp,border,legislated,2022-07 start (baseline),False,division x month,0.011246745512409536,0.006831282782631759,-0.002852329196738449,0.02534582022155752,0.11272382588168739,8,18,1274
lemp_leisure_hosp,border,legislated,2021-01 start (long),False,twoway,0.02782962474647755,0.007380691650564644,0.012628805746155302,0.0430304437467998,0.0008908438028443211,8,18,1742
lemp_leisure_hosp,border,legislated,2021-01 start (long),False,division x month,0.021398818036509018,0.009592383464513903,0.0016011116015143163,0.04119652447150372,0.03529931412481435,8,18,1742
lemp_leisure_hosp,border,legislated,2021-01 start (long),True,twoway,0.016954607955128157,0.005331960063430356,0.0059732306427524254,0.02793598526750389,0.0039042987438042687,8,18,1586
lemp_leisure_hosp,border,legislated,2021-01 start (long),True,division x month,0.016079934445013794,0.008265188339281053,-0.000978575880013103,0.03313844477004069,0.06351842042292843,8,18,1586
lemp_leisure_hosp,border,indexed,2022-07 start (baseline),False,twoway,0.0015887581409782584,0.004158933615357131,-0.006893442890212637,0.010070959172169153,0.7050595621587998,14,18,1568
lemp_leisure_hosp,border,indexed,2022-07 start (baseline),False,division x month,0.003380480614289618,0.006148358532862785,-0.00917614266884074,0.015937103897419976,0.586514311594925,14,18,1568
lemp_leisure_hosp,border,indexed,2021-01 start (long),False,twoway,0.010639049575257093,0.00631274083158806,-0.0022358702343824,0.023513969384896586,0.10196733740026076,14,18,2144
lemp_leisure_hosp,border,indexed,2021-01 start (long),False,division x month,0.007408858456458274,0.008563081292980609,-0.010079286609264416,0.024897003522180966,0.39379019050983954,14,18,2144
lemp_leisure_hosp,border,indexed,2021-01 start (long),True,twoway,0.004199826707222328,0.00503839704027945,-0.006076051804711475,0.014475705219156131,0.4109036233634409,14,18,1952
lemp_leisure_hosp,border,indexed,2021-01 start (long),True,division x month,0.004492738194270824,0.007331644169751577,-0.010480476753014382,0.01946595314155603,0.544634738856085,14,18,1952
